role,skills,education,experience_type
machine learning (ml) engineer,"algorithms, analysis of algorithms, bounded rationality, combinatorial optimizations, cryptography, game theory, social networks","PhD Candidate, Computer Science, B.Sc., Double major in Computer Science and Management",experienced
intern,"c, computer vision, deep learning, exploratory data analysis, financial risk management, linear regression, logistic regression, machine learning, opencv, r, risk analyst, statistical analysis",B.Tech,experienced
project coordinator (civil),"algorithms, analysis of algorithms, bounded rationality, combinatorial optimizations, cryptography, game theory, social networks","PhD Candidate, Computer Science, B.Sc., Double major in Computer Science and Management",experienced
machine learning (ml) engineer,"gdb, github, html, jira, leetcode, lucidchart, mysql, owasp zap, postman, python",Bachelor of Science,experienced
data_analyst,"account reconciliation processes, active-listening, administrative support, and critical thinking skills, customer service, data entry, financial statements, general ledger proficiency, interpersonal, microsoft office, proficient in polish language, superior analytical skills","Bachelor of Science, Associate",experienced
senior ios engineer,"access, ap, ar, bank reconciliations, billings, budgets, cash flow projections, excel, financial statements, government contracting, great plains, jde, labview, matlab, peachtree, proactive, quickbooks, self-motivated, team player, word","Master of Science, M. Eng, Bachelor of Science",experienced
"system administrator (operation & maintenance of server, storage & service desk system)","analytics, data analysis, data analytics, data cleaning, data preparation, excel, machine learning, pivot table, postgresql, powerbi, predictive modeling, python, sql, webscrapping, xml",Bachelor of Science,experienced
marketing,"architecting best practice technical solutions, client management, cross-team collaboration, engineering cost estimating, engineering resource management and forecasting, process improvement, qa, qm, team leadership, technical program management, testing and commissioning planning and execution, vendor management",Bachelor of Science,experienced
senior ios engineer,"artificial intelligence, deep learning, matplotlib, numpy, pandas, reinforcement learning, scikit learn, tensorflow keras",B.Tech(IT),experienced
executive - vat,"bash, c++, git, haskell, hpc, jax, linux, matplotlib, pandas, python, pytorch, scikit-learn, unity","Ph.D. in Computer Science, Master in Computer Science, Bachelor in Physics",experienced
marketing,"automation design, budgetary and policy development, economic analysis, ergonomic and safety conscious, executive decision maker, lean & six sigma practitioner, new product development, process design & improvement, product design, project management & execution, quality control, strategic planning & development","Master of Business Administration, Bachelor of Science, Manufacturing Engineering Technology",experienced
mechanical designer,"control, electronic & mechanical technology, leadership, lean, maintenance management, material management, mechanical component troubleshooting, microsoft access, microsoft office, microsoft project, program management, project management, quality assurance, safety compliance, sap, sharepoint, six sigma principles, staff development, technical interface","MBA, Bachelor of Science, Associate of Science",experienced
marketing,"careful and active listener, fluent in spanish, hungry for growth and continuous learning, proactive and energetic, self-starter & self-motivated",Bachelors of Arts,experienced
mechanical designer,"assisted living, insurance, internal medicine, interpersonal and communication, managing, marketing, meetings, mentor, networking, office, organizing, orthopedics, outside sales, physical therapy, rehabilitation, sales, seminars, team player, time management",B.A,experienced
executive/ sr. executive -it,"c++, python, pytorch, r, snowflake, sql, tableau",B.S.,experienced
executive - vat,"agile methodology, coaching, data management, enterprise software, leadership development, mentoring, people development, portfolio management, process analysis, product excellence, program management, solution design, systems integration","Ph.D., Master of Science, Bachelor of Arts",experienced
intern,"2-tier, account reconciliations, accounting, accounts payable, accounts receivables, accruals, ad hoc, advanced excel, ap, atlas, balance, balance sheet, bank reconciliations, billing, bookkeeping, budget, budgeting, business objects, charts, cpa, databases, excellent written, finance, financial analysis, financial reporting, financial reports, financial statements, fixed assets, fluent in english, forecasting, general ledger, general ledger accounts, government, graphs, harvard graphics, jde, lotus notes, microsoft office, ms access, nanovision, ngs systems, oral communication, people soft, phoenix (e1), powerpoint, presentations, quickbooks, quicken, reporting, sap, sarbanes oxley, senior management, sox compliance, spanish, tax, variance analysis, windows 95 - xp","Master of Business Administration, Bachelor of Science",experienced
